 9.5-10.5 2.9E-07 2.9E-07 2.9E-07 3.0E-07 3.1E-07 3.3E-07 3.5E-07 3.7E-07 4.1E-07 4.6E-07 5.0E-07 5.3E-07 5.5E-07   5.2E-06
10.5-11.5 2.3E-06 2.3E-06 2.3E-06 2.3E-06 2.2E-06 2.2E-06 2.2E-06 2.1E-06 2.0E-06 1.9E-06 1.9E-06 1.8E-06 1.8E-06   2.6E-05
11.5-12.5 8.1E-06 8.1E-06 8.1E-06 8.2E-06 8.3E-06 8.4E-06 8.5E-06 8.6E-06 8.9E-06 9.2E-06 9.5E-06 9.8E-06 1.0E-05   1.1E-04
12.5-13.5 1.8E-05 1.8E-05 1.7E-05 1.7E-05 1.6E-05 1.5E-05 1.5E-05 1.4E-05 1.2E-05 1.2E-05 1.1E-05 1.1E-05 1.1E-05   1.6E-04
13.5-14.5 7.1E-06 7.0E-06 6.9E-06 6.6E-06 6.3E-06 6.0E-06 5.6E-06 5.2E-06 4.4E-06 3.6E-06 2.9E-06 2.4E-06 2.2E-06   5.6E-05
14.5-15.5 2.0E-14 1.7E-14 9.8E-15 2.3E-15 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   8.6E-15
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                             alpha production cross section (mb) =3.641E-04
                                                                             alpha multiplicity (dimensionless)  =3.298E-05
                                                                             alpha average energy (MeV)          =1.264E+01
                                                                             alpha kerma coefficient (fGym^2)    =0.000E+00
  
***************************** A<5 PRODUCTION CROSS SECTION SUMMARY ********************************************************
 neutron prod. cross sec. (mb)=1.103E+01 ;multiplicity=9.991E-01 ;av. energy (MeV)=1.624E+00 ;kerma co. (fGym^2) =0.000E+00
  proton prod. cross sec. (mb)=6.529E-05 ;multiplicity=5.914E-06 ;av. energy (MeV)=4.227E+00 ;kerma co. (fGym^2) =0.000E+00
deuteron prod. cross sec. (mb)=0.000E+00 ;multiplicity=0.000E+00 ;av. energy (MeV)=0.000E+00 ;kerma co. (fGym^2) =0.000E+00
  triton prod. cross sec. (mb)=0.000E+00 ;multiplicity=0.000E+00 ;av. energy (MeV)=0.000E+00 ;kerma co. (fGym^2) =0.000E+00
   alpha prod. cross sec. (mb)=3.641E-04 ;multiplicity=3.298E-05 ;av. energy (MeV)=1.264E+01 ;kerma co. (fGym^2) =0.000E+00
   gamma prod. cross sec. (mb)=2.642E+01 ;multiplicity=2.393E+00 ;av. energy (MeV)=7.246E-01 ;kerma co. (fGym^2) =0.000E+00
******************************** ENERGY DEPOSITION SUMMARY ****************************************************************
Average fraction of incident energy transferred to secondary ejectiles per nonelastic reaction:
neut.=2.32E-01; prot.=3.57E-06; deut.=0.00E+00; trit.=0.00E+00; alph.=5.96E-05; gamm.=2.48E-01; A>5 recoils=5.93E-03
***************************************************************************************************************************

+++++++++++++++++++++++++++++++++++++++   8-MeV  protons incident on 208Pb ++++++++++++++++++++++++++++++++++++++++++++++++

Cross section summary information for   8-MeV reactions on 208Pb:
Nonelastic cross section = 3.672E+01 mb
  
                         8-MeV  protons incident on 208Pb
                        Emission spectrum of  *neutrons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
 0.0- 1.5 8.7E-01 8.7E-01 8.6E-01 8.6E-01 8.5E-01 8.5E-01 8.4E-01 8.3E-01 8.3E-01 8.3E-01 8.4E-01 8.5E-01 8.6E-01   1.1E+01
 1.5- 2.5 1.0E+00 1.0E+00 1.0E+00 1.0E+00 1.0E+00 1.0E+00 9.9E-01 9.8E-01 9.6E-01 9.5E-01 9.6E-01 9.7E-01 9.8E-01   1.2E+01
 2.5- 3.5 4.5E-01 4.5E-01 4.4E-01 4.4E-01 4.3E-01 4.2E-01 4.2E-01 4.1E-01 4.0E-01 4.1E-01 4.1E-01 4.2E-01 4.3E-01   5.2E+00
 3.5- 4.5 3.0E-01 3.0E-01 3.0E-01 2.9E-01 2.9E-01 2.8E-01 2.7E-01 2.7E-01 2.6E-01 2.5E-01 2.5E-01 2.5E-01 2.5E-01   3.3E+00
 4.5- 5.5 9.2E-03 9.0E-03 8.7E-03 8.1E-03 7.4E-03 6.6E-03 5.7E-03 4.9E-03 3.4E-03 2.3E-03 1.5E-03 9.8E-04 7.3E-04   4.9E-02
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                           neutron production cross section (mb) =3.669E+01
                                                                           neutron multiplicity (dimensionless)  =9.992E-01
                                                                           neutron average energy (MeV)          =1.831E+00
  
                         8-MeV  protons incident on 208Pb
                        Emission spectrum of   *protons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
